name,tag,origin
Adram,NN,Tiefling
Amnon,NN,Tiefling
Andram,NN,Tiefling
Arli,NN,Tiefling
Arnin,NN,Tiefling
Arthos,NN,Tiefling
Athren,NN,Tiefling
Bap,NN,Tiefling
Bar,NN,Tiefling
Bkran,NN,Tiefling
Blth,NN,Tiefling
Brrai,NN,Tiefling
Brthos,NN,Tiefling
Btlr,NN,Tiefling
Btpr,NN,Tiefling
Cds,NN,Tiefling
Ceeeere,NN,Tiefling
Ckemon,NN,Tiefling
Cls,NN,Tiefling
Cmdsmnon,NN,Tiefling
Cmek,NN,Tiefling
Cms,NN,Tiefling
Cos,NN,Tiefling
Cps,NN,Tiefling
Cressel,NN,Tiefling
Crpssago,NN,Tiefling
Crs,NN,Tiefling
Crssngn,NN,Tiefling
Crssngrz,NN,Tiefling
Crsstor,NN,Tiefling
Css,NN,Tiefling
Deen,NN,Tiefling
Deenei,NN,Tiefling
Deeneis,NN,Tiefling
Deenerai,NN,Tiefling
Delnicar,NN,Tiefling
Dem,NN,Tiefling
Deman,NN,Tiefling
Demn,NN,Tiefling
Demnen,NN,Tiefling
Den,NN,Tiefling
Dern,NN,Tiefling
Dernin,NN,Tiefling
Dlam,NN,Tiefling
Dmmal,NN,Tiefling
Dnen,NN,Tiefling
Dram,NN,Tiefling
Drem,NN,Tiefling
Drma,NN,Tiefling
Elech,NN,Tiefling
Epar,NN,Tiefling
Erem,NN,Tiefling
Erihim,NN,Tiefling
Erin,NN,Tiefling
Ethren,NN,Tiefling
Far,NN,Tiefling
Fmnrnz,NN,Tiefling
Fndram,NN,Tiefling
Frnn,NN,Tiefling
Frrn,NN,Tiefling
Gel,NN,Tiefling
Gkl,NN,Tiefling
Gle,NN,Tiefling
Grin,NN,Tiefling
Gron,NN,Tiefling
Hbao,NN,Tiefling
Helaios,NN,Tiefling
Herai,NN,Tiefling
Hmbor,NN,Tiefling
Hmn,NN,Tiefling
Hnos,NN,Tiefling
Hrim,NN,Tiefling
Hzbor,NN,Tiefling
Iddon,NN,Tiefling
Irdoi,NN,Tiefling
Irme,NN,Tiefling
Irmo,NN,Tiefling
Kamos,NN,Tiefling
Klacos,NN,Tiefling
Kmen,NN,Tiefling
Kmon,NN,Tiefling
Kor,NN,Tiefling
Kririm,NN,Tiefling
Kze,NN,Tiefling
Lam,NN,Tiefling
Lbax,NN,Tiefling
Lcaf,NN,Tiefling
Lcam,NN,Tiefling
Lcas,NN,Tiefling
Lcav,NN,Tiefling
Lcax,NN,Tiefling
Lcus,NN,Tiefling
Lcuu,NN,Tiefling
Lech,NN,Tiefling
Lerhim,NN,Tiefling
Lerhin,NN,Tiefling
Lfax,NN,Tiefling
Lfca,NN,Tiefling
Lmag,NN,Tiefling
Lraam,NN,Tiefling
Lrafar,NN,Tiefling
Lruls,NN,Tiefling
Lsuz,NN,Tiefling
Lthos,NN,Tiefling
Lurgon,NN,Tiefling
Marbas,NN,Tiefling
Mbal,NN,Tiefling
Mcrms,NN,Tiefling
Mdalafar,NN,Tiefling
Mdrim,NN,Tiefling
Mll,NN,Tiefling
Mmmn,NN,Tiefling
Mmn,NN,Tiefling
Mnen,NN,Tiefling
Mnrmz,NN,Tiefling
Mnunzz,NN,Tiefling
Mod,NN,Tiefling
Mor,NN,Tiefling
Mrdii,NN,Tiefling
Mrrin,NN,Tiefling
Mthneuz,NN,Tiefling
Mthren,NN,Tiefling
Mtrin,NN,Tiefling
Muz,NN,Tiefling
Mxp,NN,Tiefling
Myzza,NN,Tiefling
Ndcos,NN,Tiefling
Ndram,NN,Tiefling
Niron,NN,Tiefling
Nlpax,NN,Tiefling
Nqrgm,NN,Tiefling
Nrpcs,NN,Tiefling
Nrrgll,NN,Tiefling
Nrzz,NN,Tiefling
Ntus,NN,Tiefling
Odaa,NN,Tiefling
Odean,NN,Tiefling
Odram,NN,Tiefling
Oirae,NN,Tiefling
Omnan,NN,Tiefling
Ordai,NN,Tiefling
Orethren,NN,Tiefling
Oriax,NN,Tiefling
Orthos,NN,Tiefling
Pal,NN,Tiefling
Par,NN,Tiefling
Pdan,NN,Tiefling
Perai,NN,Tiefling
Phan,NN,Tiefling
Pla,NN,Tiefling
Plaa,NN,Tiefling
Plam,NN,Tiefling
Plan,NN,Tiefling
Pmn,NN,Tiefling
Pndnan,NN,Tiefling
Pnln,NN,Tiefling
Pnraz,NN,Tiefling
Pnrnz,NN,Tiefling
Poraa,NN,Tiefling
Porath,NN,Tiefling
Ppan,NN,Tiefling
Pran,NN,Tiefling
Prlax,NN,Tiefling
Pryssago,NN,Tiefling
Pthnen,NN,Tiefling
Pthneu,NN,Tiefling
Puran,NN,Tiefling
Purao,NN,Tiefling
Pyamakos,NN,Tiefling
Pyyman,NN,Tiefling
Qemuel,NN,Tiefling
Qmmul,NN,Tiefling
Qmmulo,NN,Tiefling
Qmuz,NN,Tiefling
Qrmu,NN,Tiefling
R#Phan,NN,Tiefling
Ralafar,NN,Tiefling
Rbas,NN,Tiefling
Rcmee,NN,Tiefling
Rdai,NN,Tiefling
Rdaim,NN,Tiefling
Rdein,NN,Tiefling
Rdii,NN,Tiefling
Rdmam,NN,Tiefling
Refhrnm,NN,Tiefling
Rel,NN,Tiefling
Reror,NN,Tiefling
Retsrel,NN,Tiefling
Rgel,NN,Tiefling
Rgz,NN,Tiefling
Rim,NN,Tiefling
Rimmon,NN,Tiefling
Rin,NN,Tiefling
Rkas,NN,Tiefling
Rkn,NN,Tiefling
Rlax,NN,Tiefling
Rle,NN,Tiefling
Rlevh,NN,Tiefling
Rli,NN,Tiefling
Rln,NN,Tiefling
Rma,NN,Tiefling
Rmi,NN,Tiefling
Rnin,NN,Tiefling
Ron,NN,Tiefling
Ror,NN,Tiefling
Ros,NN,Tiefling
Rpam,NN,Tiefling
Rpan,NN,Tiefling
Rpas,NN,Tiefling
Rpthnen,NN,Tiefling
Rqimuol,NN,Tiefling
Rqm,NN,Tiefling
Rram,NN,Tiefling
Rriix,NN,Tiefling
Rrkan,NN,Tiefling
Rron,NN,Tiefling
Rsel,NN,Tiefling
Rsen,NN,Tiefling
Rsexrin,NN,Tiefling
Rstnr,NN,Tiefling
Rthos,NN,Tiefling
Rtlo,NN,Tiefling
Rto,NN,Tiefling
Rtos,NN,Tiefling
Rtp,NN,Tiefling
Rtros,NN,Tiefling
Ruz,NN,Tiefling
Rva,NN,Tiefling
Rxl,NN,Tiefling
Rza,NN,Tiefling
Rzi,NN,Tiefling
Rzz,NN,Tiefling
Scmmel,NN,Tiefling
Sdar,NN,Tiefling
Sekhmet,NN,Tiefling
Sel,NN,Tiefling
Sgel,NN,Tiefling
Skrgrl,NN,Tiefling
Slag,NN,Tiefling
Smam,NN,Tiefling
Smelech,NN,Tiefling
Smem,NN,Tiefling
Smmon,NN,Tiefling
Snerai,NN,Tiefling
Sram,NN,Tiefling
Srel,NN,Tiefling
Sser,NN,Tiefling
Ster,NN,Tiefling
Sthren,NN,Tiefling
Suava,NN,Tiefling
Suzza,NN,Tiefling
Tatrin,NN,Tiefling
Tcn,NN,Tiefling
Tcr,NN,Tiefling
Ter,NN,Tiefling
Tfar,NN,Tiefling
Tfdram,NN,Tiefling
Thren,NN,Tiefling
Tideon,NN,Tiefling
Tkos,NN,Tiefling
Tkren,NN,Tiefling
Tlr,NN,Tiefling
Tmn,NN,Tiefling
Tndaa,NN,Tiefling
Tpren,NN,Tiefling
Tprnn,NN,Tiefling
Tressel,NN,Tiefling
Trin,NN,Tiefling
Trpelaios,NN,Tiefling
Trpn,NN,Tiefling
Trrehim,NN,Tiefling
Trrehir,NN,Tiefling
Trrel,NN,Tiefling
Trren,NN,Tiefling
Trressel,NN,Tiefling
Trsen,NN,Tiefling
Trthos,NN,Tiefling
Tthren,NN,Tiefling
Ttr,NN,Tiefling
Tur,NN,Tiefling
Tutai,NN,Tiefling
Txthpen,NN,Tiefling
Tzr,NN,Tiefling
Ude,NN,Tiefling
Ukamos,NN,Tiefling
Upn,NN,Tiefling
Uron,NN,Tiefling
Urz,NN,Tiefling
Urzo,NN,Tiefling
Urzz,NN,Tiefling
Uzza,NN,Tiefling
Vspal,NN,Tiefling
Vstar,NN,Tiefling
Xca,NN,Tiefling
Xdppnn,NN,Tiefling
Xeppan,NN,Tiefling
Xpppnn,NN,Tiefling
Xpppnnnuz,NN,Tiefling
Xpprnn,NN,Tiefling
Xrg,NN,Tiefling
Yamakos,NN,Tiefling
Ydai,NN,Tiefling
Ydam,NN,Tiefling
Ylam,NN,Tiefling
Ymon,NN,Tiefling
Yndaa,NN,Tiefling
Yndas,NN,Tiefling
Yorath,NN,Tiefling
Ythas,NN,Tiefling
Ythos,NN,Tiefling
Yuza,NN,Tiefling
Yzaa,NN,Tiefling
Yzza,NN,Tiefling
Zpah,NN,Tiefling
Zpal,NN,Tiefling
Zpax,NN,Tiefling
Zppan,NN,Tiefling
Zpula,NN,Tiefling
Aggr,NN,Half-Orc
Aggran,NN,Half-Orc
Anch,NN,Half-Orc
Anchu,NN,Half-Orc
Arg,NN,Half-Orc
Argran,NN,Half-Orc
Arusk,NN,Half-Orc
Augren,NN,Half-Orc
Awar,NN,Half-Orc
Baag,NN,Half-Orc
Bagga,NN,Half-Orc
Baggr,NN,Half-Orc
Ban,NN,Half-Orc
Banglar,NN,Half-Orc
Bar,NN,Half-Orc
Barg,NN,Half-Orc
Bash,NN,Half-Orc
Baug,NN,Half-Orc
Bbash,NN,Half-Orc
Bcu,NN,Half-Orc
Beng,NN,Half-Orc
Besh,NN,Half-Orc
Blas,NN,Half-Orc
Bmagga,NN,Half-Orc
Bnash,NN,Half-Orc
Bor,NN,Half-Orc
Borag,NN,Half-Orc
Brash,NN,Half-Orc
Bsh,NN,Half-Orc
Btaa,NN,Half-Orc
Bth,NN,Half-Orc
Bubash,NN,Half-Orc
Burash,NN,Half-Orc
Buug,NN,Half-Orc
Bwag,NN,Half-Orc
Bwar,NN,Half-Orc
Bybar,NN,Half-Orc
Cgaa,NN,Half-Orc
Cgga,NN,Half-Orc
Cha,NN,Half-Orc
Chu,NN,Half-Orc
Cngar,NN,Half-Orc
Crak,NN,Half-Orc
Crug,NN,Half-Orc
Ctagga,NN,Half-Orc
Cubash,NN,Half-Orc
Cug,NN,Half-Orc
Cuga,NN,Half-Orc
Cuu,NN,Half-Orc
Dnenh,NN,Half-Orc
Dorr,NN,Half-Orc
Duren,NN,Half-Orc
Durren,NN,Half-Orc
Dvurk,NN,Half-Orc
Eda,NN,Half-Orc
Edl,NN,Half-Orc
Egced,NN,Half-Orc
Ench,NN,Half-Orc
Enchu,NN,Half-Orc
Endar,NN,Half-Orc
Esh,NN,Half-Orc
Farg,NN,Half-Orc
Frug,NN,Half-Orc
Ftag,NN,Half-Orc
Fugga,NN,Half-Orc
Furg,NN,Half-Orc
Furgen,NN,Half-Orc
Fwar,NN,Half-Orc
Gar,NN,Half-Orc
Garth,NN,Half-Orc
Gbar,NN,Half-Orc
Gbarg,NN,Half-Orc
Gbbash,NN,Half-Orc
Gen,NN,Half-Orc
Glur,NN,Half-Orc
Gord,NN,Half-Orc
Gubrash,NN,Half-Orc
Gur,NN,Half-Orc
Henk,NN,Half-Orc
Hgga,NN,Half-Orc
Hncrug,NN,Half-Orc
Hngran,NN,Half-Orc
Hubrash,NN,Half-Orc
Hurren,NN,Half-Orc
Huur,NN,Half-Orc
Iash,NN,Half-Orc
Idas,NN,Half-Orc
Ilberg,NN,Half-Orc
Irsh,NN,Half-Orc
Irss,NN,Half-Orc
Ish,NN,Half-Orc
Iush,NN,Half-Orc
Korag,NN,Half-Orc
Krusk,NN,Half-Orc
Kuraek,NN,Half-Orc
Kurash,NN,Half-Orc
Lar,NN,Half-Orc
Lbaa,NN,Half-Orc
Lbaag,NN,Half-Orc
Ldo,NN,Half-Orc
Len,NN,Half-Orc
Llbar,NN,Half-Orc
Lraak,NN,Half-Orc
Lren,NN,Half-Orc
Lth,NN,Half-Orc
Lub,NN,Half-Orc
Lubash,NN,Half-Orc
Lubrash,NN,Half-Orc
Lur,NN,Half-Orc
Marg,NN,Half-Orc
Mbar,NN,Half-Orc
Meggen,NN,Half-Orc
Mru,NN,Half-Orc
Msh,NN,Half-Orc
Murren,NN,Half-Orc
NUsh,NN,Half-Orc
Nar,NN,Half-Orc
Narsh,NN,Half-Orc
Nash,NN,Half-Orc
Nch,NN,Half-Orc
Nchu,NN,Half-Orc
Ncl,NN,Half-Orc
Ncrug,NN,Half-Orc
Ndorn,NN,Half-Orc
Ndorr,NN,Half-Orc
Ndurren,NN,Half-Orc
Nenh,NN,Half-Orc
Nesh,NN,Half-Orc
Nfurg,NN,Half-Orc
Ngoar,NN,Half-Orc
Nla,NN,Half-Orc
Nna,NN,Half-Orc
Nol,NN,Half-Orc
Norag,NN,Half-Orc
Nru,NN,Half-Orc
Nrusk,NN,Half-Orc
Ntarak,NN,Half-Orc
Nth,NN,Half-Orc
Nubash,NN,Half-Orc
Nurss,NN,Half-Orc
Nwa,NN,Half-Orc
Odorr,NN,Half-Orc
Ola,NN,Half-Orc
Olen,NN,Half-Orc
Olr,NN,Half-Orc
Omph,NN,Half-Orc
Orag,NN,Half-Orc
Oren,NN,Half-Orc
Orn,NN,Half-Orc
Orr,NN,Half-Orc
Ouk,NN,Half-Orc
R#Nthu,NN,Half-Orc
Ran,NN,Half-Orc
Ranthu,NN,Half-Orc
Rash,NN,Half-Orc
Ren,NN,Half-Orc
Rendar,NN,Half-Orc
Resh,NN,Half-Orc
Rnath,NN,Half-Orc
Rrath,NN,Half-Orc
Rsnt,NN,Half-Orc
Rubash,NN,Half-Orc
Rubka,NN,Half-Orc
Rubkas,NN,Half-Orc
Rubta,NN,Half-Orc
Rug,NN,Half-Orc
Rumbar,NN,Half-Orc
Rumbarg,NN,Half-Orc
Runt,NN,Half-Orc
Rust,NN,Half-Orc
Ruuk,NN,Half-Orc
Sbumsa,NN,Half-Orc
Senk,NN,Half-Orc
Sfrgga,NN,Half-Orc
Sler,NN,Half-Orc
Sles,NN,Half-Orc
Snumsh,NN,Half-Orc
Sren,NN,Half-Orc
Srumbarg,NN,Half-Orc
Subka,NN,Half-Orc
Surk,NN,Half-Orc
Teng,NN,Half-Orc
Thu,NN,Half-Orc
Tlar,NN,Half-Orc
Tmph,NN,Half-Orc
Trag,NN,Half-Orc
Tru,NN,Half-Orc
Tth,NN,Half-Orc
Tump,NN,Half-Orc
Twar,NN,Half-Orc
Uaag,NN,Half-Orc
Uagga,NN,Half-Orc
Uarg,NN,Half-Orc
Ubash,NN,Half-Orc
Ubbash,NN,Half-Orc
Ubesh,NN,Half-Orc
Ubosh,NN,Half-Orc
Ubpsh,NN,Half-Orc
Ubrash,NN,Half-Orc
Ubsa,NN,Half-Orc
Ubssh,NN,Half-Orc
Ubush,NN,Half-Orc
Ucada,NN,Half-Orc
Ugbar,NN,Half-Orc
Uhu,NN,Half-Orc
Uil,NN,Half-Orc
Uirsh,NN,Half-Orc
Ulb,NN,Half-Orc
Umbar,NN,Half-Orc
Umbarg,NN,Half-Orc
Urrath,NN,Half-Orc
Urubka,NN,Half-Orc
Urubkas,NN,Half-Orc
Uub,NN,Half-Orc
Uubda,NN,Half-Orc
Uubesh,NN,Half-Orc
Uubpsh,NN,Half-Orc
Vench,NN,Half-Orc
Vln,NN,Half-Orc
Vrada,NN,Half-Orc
Vrek,NN,Half-Orc
Vubbash,NN,Half-Orc
War,NN,Half-Orc
Wen,NN,Half-Orc
Wor,NN,Half-Orc
Worka,NN,Half-Orc
Wur,NN,Half-Orc
Ybar,NN,Half-Orc
Ybarg,NN,Half-Orc
Yborag,NN,Half-Orc
Ybrash,NN,Half-Orc
Ybrk,NN,Half-Orc
Ybrka,NN,Half-Orc
Yevelda,NN,Half-Orc
Ynrk,NN,Half-Orc
Yorag,NN,Half-Orc
Yrek,NN,Half-Orc
Yruk,NN,Half-Orc
Yurk,NN,Half-Orc
Zagga,NN,Half-Orc
Zgar,NN,Half-Orc
Zgarth,NN,Half-Orc
Zgga,NN,Half-Orc
